Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
1.402078116E0,5.112000465E0,-3.77E+00,-6.99E+00
1.406033885E0,5.647950172E0,-2.18E+00,-5.69E+00
1.409990808E0,4.461000443E0,-1.91E-02,-3.35E+00
1.413946674E0,5.208000183E0,3.820500076E-1,-1.63E+00
1.417900289E0,4.882950306E0,-2.10E-01,-9.57E-01
1.421855443E0,3.580050230E0,-1.05E+00,-5.17E-01
1.425809737E0,2.374050140E0,-2.28E+00,9.570000172E-1
1.429765506E0,1.339950085E0,-2.37E+00,2.488950014E0
1.433721198E0,1.206000090E0,-2.99E+00,3.829050064E0
1.437676819E0,2.182049990E0,-4.48E+00,4.270050049E0
1.441632357E0,3.292950153E0,-4.77E+00,3.600000143E0
1.445587588E0,4.155000210E0,-4.50E+00,9.190500379E-1
1.449545347E0,4.519050121E0,-3.27E+00,-1.03E+00
1.453501424E0,4.461000443E0,-2.03E+00,-2.68E+00
1.457457270E0,5.208000183E0,-2.34E+00,-3.56E+00
1.461413049E0,5.245950222E0,-2.58E+00,-2.51E+00
1.465368972E0,4.863000393E0,-3.03E+00,-1.82E+00
1.469322357E0,5.245950222E0,-3.68E+00,8.040000200E-1
1.473277525E0,6.031050205E0,-4.12E+00,1.435950041E0
1.477233140E0,7.008000374E0,-3.33E+00,9.379500151E-1
1.481189063E0,8.751000404E0,-2.70E+00,1.282050014E0
1.485144756E0,1.028295040E1,-2.20E+00,1.531050086E0
1.489100448E0,1.110600090E1,-1.65E+00,1.378050089E0
1.493056525E0,1.181505013E1,-1.01E+00,1.014000058E0
1.497012294E0,1.246605015E1,-3.44E-01,4.780500233E-1
1.500968910E0,1.303995037E1,-9.50E-02,-1.91E-02
1.504924371E0,1.305900097E1,-3.63E-01,-7.46E-01
1.508880072E0,1.238895035E1,-7.85E-01,-2.32E+00
1.512835688E0,1.194900036E1,-1.72E+00,-5.49E+00
1.516791226E0,1.294395065E1,-3.20E+00,-1.15E+01
1.520747433E0,1.357605076E1,-4.90E+00,-1.54E+01
1.524703587E0,1.200600052E1,-5.84E+00,-1.48E+01
1.528659433E0,9.766050339E0,-6.01E+00,-1.16E+01
1.532615510E0,8.061000824E0,-5.42E+00,-8.04E+00
1.536571587E0,6.892950535E0,-4.96E+00,-5.11E+00
1.540527972E0,6.796950340E0,-5.42E+00,-3.29E+00
1.544484592E0,6.951000214E0,-5.90E+00,-2.79E+00
1.548441361E0,7.237950325E0,-6.51E+00,-2.49E+00
1.552397823E0,7.353000164E0,-7.07E+00,-2.34E+00
1.556353895E0,7.333950520E0,-7.43E+00,-2.05E+00
1.560309972E0,7.237950325E0,-8.06E+00,-2.28E+00
1.564266356E0,7.257000446E0,-8.67E+00,-3.18E+00
1.568222433E0,7.486950397E0,-8.87E+00,-4.38E+00
1.572178433E0,7.506000519E0,-8.67E+00,-5.30E+00
1.576134126E0,7.180050373E0,-8.43E+00,-5.76E+00
1.580090823E0,6.951000214E0,-8.21E+00,-6.17E+00
1.584047131E0,6.855000496E0,-7.93E+00,-5.94E+00
1.588003131E0,6.490950108E0,-7.53E+00,-4.94E+00
1.591958967E0,6.337950230E0,-6.97E+00,-4.25E+00
1.595914505E0,6.643950462E0,-6.57E+00,-4.46E+00
1.599870121E0,6.796950340E0,-6.43E+00,-6.41E+00
1.603826121E0,7.449000359E0,-6.74E+00,-9.19E+00
1.607782121E0,7.468050480E0,-6.61E+00,-9.71E+00
1.611737813E0,7.257000446E0,-6.39E+00,-8.33E+00
1.615693914E0,6.261000156E0,-5.42E+00,-5.67E+00
1.619649914E0,5.400000095E0,-4.40E+00,-3.14E+00
1.623606068E0,5.494950294E0,-3.89E+00,-2.22E+00
1.627561987E0,5.341950417E0,-3.48E+00,-1.95E+00
1.631517525E0,4.576050282E0,-3.08E+00,-1.65E+00
1.635472833E0,3.504000187E0,-2.70E+00,-1.13E+00
1.639428462E0,2.565000057E0,-2.99E+00,-6.12E-01
1.643384001E0,1.914000034E0,-3.81E+00,-4.97E-01
1.647339924E0,3.060000241E-1,-5.11E+00,1.905000024E-2
1.651298121E0,-1.03E+00,-8.50E+00,-1.72E-01
1.655252044E0,-1.91E-01,-1.09E+01,7.605000585E-2
1.659207352E0,2.290500104E-1,-1.13E+01,1.053000093E0
1.663164578E0,-1.46E+00,-2.00E+01,3.630000055E-1
1.667121424E0,-2.37E+00,-2.98E+01,-9.19E-01
1.671076271E0,-4.59E+00,-3.90E+01,-6.12E-01
